dataset	n_genomes	method	bytes	bytes_per_genome
gisp	2	gz	1173962	586981
gisp	3	gz	1765538	588512.6666666666
gisp	4	gz	2340928	585232
gisp	5	gz	2930704	586140.8
gisp	6	gz	3505857	584309.5
gisp	7	gz	4096671	585238.7142857143
gisp	8	gz	4693048	586631
gisp	9	gz	5288556	587617.3333333334
gisp	10	gz	5879339	587933.9
gisp	20	gz	11724978	586248.9
gisp	30	gz	17598191	586606.3666666667
gisp	40	gz	23478066	586951.65
gisp	50	gz	29334154	586683.08
gisp	60	gz	35224746	587079.1
gisp	70	gz	41055327	586504.6714285715
gisp	80	gz	46956467	586955.8375
gisp	90	gz	52839618	587106.8666666667
gisp	100	gz	58746491	587464.91
gisp	200	gz	117632254	588161.27
gisp	300	gz	176459344	588197.8133333334
gisp	400	gz	235150984	587877.46
gisp	500	gz	293981380	587962.76
gisp	600	gz	352802659	588004.4316666666
gisp	700	gz	411638040	588054.3428571429
gisp	900	gz	529300087	588111.2077777778
gisp	1000	gz	588205117	588205.117
gisp	1102	gz	648340119	588330.4165154265
gisp	2	bz2	1130714	565357
gisp	3	bz2	1701486	567162
gisp	4	bz2	2255576	563894
gisp	5	bz2	2822266	564453.2
gisp	6	bz2	3376092	562682
gisp	7	bz2	3945653	563664.7142857143
gisp	8	bz2	4524886	565610.75
gisp	9	bz2	5097041	566337.8888888889
gisp	10	bz2	5666806	566680.6
gisp	20	bz2	11298211	564910.55
gisp	30	bz2	16953889	565129.6333333333
gisp	40	bz2	22621390	565534.75
gisp	50	bz2	28265046	565300.92
gisp	60	bz2	33943377	565722.95
gisp	70	bz2	39554279	565061.1285714286
gisp	80	bz2	45241659	565520.7375
gisp	90	bz2	50911713	565685.7
gisp	100	bz2	56608614	566086.14
gisp	200	bz2	113340605	566703.025
gisp	300	bz2	170025357	566751.19
gisp	400	bz2	226566802	566417.005
gisp	500	bz2	283263337	566526.674
gisp	600	bz2	339939704	566566.1733333333
gisp	700	bz2	396642856	566632.6514285714
gisp	900	bz2	510020710	566689.6777777778
gisp	1000	bz2	566774341	566774.341
gisp	1102	bz2	624705974	566883.8239564429
gisp	2	xz	720532	360266
gisp	3	xz	837944	279314.6666666667
gisp	4	xz	891520	222880
gisp	5	xz	936636	187327.2
gisp	6	xz	953020	158836.66666666666
gisp	7	xz	968968	138424
gisp	8	xz	984812	123101.5
gisp	9	xz	1067028	118558.66666666667
gisp	10	xz	1106780	110678
gisp	20	xz	1196304	59815.2
gisp	30	xz	1298996	43299.86666666667
gisp	40	xz	1352312	33807.8
gisp	50	xz	1402432	28048.64
gisp	60	xz	1445836	24097.266666666666
gisp	70	xz	1492568	21322.4
gisp	80	xz	1547692	19346.15
gisp	90	xz	1613848	17931.644444444446
gisp	100	xz	1656956	16569.56
gisp	200	xz	2067740	10338.7
gisp	300	xz	2523228	8410.76
gisp	400	xz	2904780	7261.95
gisp	500	xz	3272116	6544.232
gisp	600	xz	3764852	6274.753333333333
gisp	700	xz	3997272	5710.388571428572
gisp	900	xz	4670816	5189.795555555555
gisp	1000	xz	5345564	5345.564
gisp	1102	xz	5675088	5149.807622504537
